project_id,project_name,project_type,business_unit,methodology,priority_level,planned_budget_usd,actual_cost_usd,cost_variance_percent,schedule_variance_percent,schedule_variance_days,spi,cpi,planned_value_usd,earned_value_usd,completed_tasks_percent,open_risks_count,open_issues_count,scope_changes_count,resource_utilization_percent,stakeholder_sentiment_score,risk_score,status,recovery_priority,expected_recovery_timeline,recommended_action,start_date,planned_end_date,forecast_end_date
PRJ-0001,Cybersecurity Program 1,Cybersecurity Program,IT,Hybrid,Medium,187473,191991.1,2.41,4.25,-2,1.03,0.96,149978.4,154477.75,80,1,1,2,81,4.0,28.02,Amber,Low,2-4 weeks,,2026-01-02,2026-07-12,2026-07-12
PRJ-0002,DevOps Enablement 2,DevOps Enablement,Risk & Compliance,Agile,High,163628,184621.47,12.83,7.6,21,0.88,0.86,129266.12,113754.19,79,6,3,2,88,3.1,76.28,Red,Critical,6-8 weeks,,2025-11-06,2026-07-30,2026-08-20
PRJ-0003,Infrastructure Refresh 3,Infrastructure Refresh,IT,Hybrid,High,1837688,2159283.4,17.5,23.74,48,0.73,0.76,496175.76,362208.3,27,12,12,5,95,2.7,155.76,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-05-23,2026-03-03,2026-04-20
PRJ-0004,Identity Access Management 4,Identity Access Management,Customer Experience,Agile,Medium,299741,334151.27,11.48,7.71,15,0.86,0.88,224805.75,193332.95,75,8,4,4,94,3.7,89.6,Red,Critical,6-8 weeks,Escalate high-priority risks to steering committee; Add temporary resources or rebalance workload,2026-02-25,2026-09-20,2026-10-05
PRJ-0005,ERP Implementation 5,ERP Implementation,Customer Experience,Agile,Low,2628925,3487269.01,32.65,24.24,56,0.69,0.81,1419619.5,979537.45,54,11,12,6,95,2.5,176.69,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-05-15,2026-05-15,2026-07-10
PRJ-0006,Data Governance Program 6,Data Governance Program,Risk & Compliance,Waterfall,Medium,225051,227481.55,1.08,-1.36,-3,1.06,0.98,186792.33,197999.87,83,3,0,1,74,4.6,15.0,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-09-28,2026-08-23,2026-08-23
PRJ-0007,Infrastructure Refresh 7,Infrastructure Refresh,Marketing,Waterfall,Low,1276108,1438939.38,12.76,13.69,18,0.85,0.89,880514.52,748437.34,69,4,8,4,90,3.7,92.51,Red,Critical,6-8 weeks,Create issue war-room and assign owners,2025-02-24,2026-02-08,2026-02-26
PRJ-0008,AI Adoption Program 8,AI Adoption Program,Marketing,Hybrid,Medium,1281159,1467951.98,14.58,15.22,8,0.91,0.89,743072.22,676195.72,58,6,5,3,82,3.2,87.88,Red,Critical,6-8 weeks,,2025-02-13,2025-06-23,2025-07-01
PRJ-0009,Network Modernization 9,Network Modernization,Finance,Waterfall,High,771798,777972.38,0.8,1.85,1,1.02,1.04,648310.32,661276.53,84,1,2,1,83,4.6,19.37,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-09-22,2026-08-02,2026-08-03
PRJ-0010,Identity Access Management 10,Identity Access Management,Finance,Agile,Low,660828,653162.4,-1.16,-0.46,-2,1.04,0.97,528662.4,549808.9,80,0,2,0,78,4.2,10.4,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-04-20,2026-03-24,2026-03-24
PRJ-0011,DevOps Enablement 11,DevOps Enablement,Operations,Hybrid,Critical,659602,745746.02,13.06,14.07,14,0.85,0.91,435337.32,370036.72,66,7,6,5,93,3.0,108.76,Red,Critical,6-8 weeks,Add temporary resources or rebalance workload; Freeze non-critical scope changes,2025-02-01,2025-06-21,2025-07-05
PRJ-0012,Payment Platform Upgrade 12,Payment Platform Upgrade,Customer Experience,Waterfall,Low,642336,646125.78,0.59,0.95,1,1.02,1.08,513868.8,524146.18,80,3,0,0,82,5.0,11.64,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-02-17,2025-05-25,2025-05-26
PRJ-0013,License Optimization 13,License Optimization,Operations,Agile,Medium,495934,590806.17,19.13,17.05,49,0.66,0.78,267804.36,176750.88,54,13,14,10,100,2.4,178.42,Red,Critical,8-12 weeks,Rebaseline project schedule; Review budget burn and cost controls; Escalate high-priority risks to steering committee; Create issue war-room and assign owners,2025-03-21,2026-02-23,2026-04-13
PRJ-0014,Procurement Automation 14,Procurement Automation,Sales,Agile,Low,277837,313205.65,12.73,6.57,23,0.9,0.93,166702.2,150031.98,60,4,7,2,84,3.1,73.42,Red,High,6-8 weeks,,2025-12-12,2026-04-15,2026-05-08
PRJ-0015,License Optimization 15,License Optimization,Risk & Compliance,Agile,Critical,703398,684546.93,-2.68,-1.43,7,1.03,1.03,604922.28,623069.95,86,1,2,0,70,4.4,11.3,Green,Low,No recovery needed,Continue monitoring project KPIs and maintain current delivery cadence,2025-08-23,2026-04-23,2026-04-30
